name,rating,reviews_count,category,address,phone,website,hours,extracted_at,ciudad_busqueda
"Clínica odontológica team D32 Odontología especialista en ortodoncia, diseño de sonrisa, implatologia oral",4.9,,Clínica dental,"QUANTUM TOWER, Calle 85 #50 - 159 Quantum tower Quantum tower, consultorio 1408, Barranquilla, Atlántico",3106151434,http://www.team-d32-odontologia.negocio.site/,,2025-12-22 16:12:14,Barranquilla
Odontología con Propósito - Dra. Indira Gómez,5.0,,Clínica dental,"Centro Comercial Plaza del Prado, 080002 Carrera 49B # 79-01, local 23 #24 Segundo piso, Barranquilla, Atlántico",3046259272,http://indiragomez.com/,,2025-12-22 16:12:17,Barranquilla
BG Odontología Especializada | Dra. Bellys Gutierrez,5.0,,Clínica dental,"Cra. 50 # 76-19 Lc 6, Nte. Centro Historico, Barranquilla, Atlántico",3242376599,https://newsite.bgodontologos.com/,,2025-12-22 16:12:20,Barranquilla
Smile Center Odontología,4.4,,Clínica dental,"Cl. 92 #46-79, Riomar, Barranquilla, Atlántico",3003027029,https://medicosdoc.com/perfil-medico/882/smile-center-jeanette-dutrenit/odontologo-barranquilla,,2025-12-22 16:12:23,Barranquilla
Patricia Otero BDC,5.0,,Clínica dental,"Cl. 82 #55 #55, El Golf, Barranquilla, Atlántico",3166187871,https://dra.patriciaoterobdc.com/,,2025-12-22 16:12:26,Barranquilla
Clinica Dental Oral Care,5.0,,Clínica dental,"Cra. 44 #53b 48 local 3, Nte. Centro Historico, Barranquilla, Atlántico",3144807026,https://clinicasoralcare.co/,,2025-12-22 16:12:29,Barranquilla
Oralty Prado,4.4,,Clínica dental,"Cra. 49c #82-101, Nte. Centro Historico, Barranquilla, Atlántico",3126918364,http://www.oralty.com.co/,,2025-12-22 16:12:32,Barranquilla
OdontoVida Integral clinica,5.0,,Clínica dental,"Cra. 48 #75- 54, Nte. Centro Historico, Barranquilla, Atlántico",3018112685,https://www.instagram.com/odontovintegral/,,2025-12-22 16:12:35,Barranquilla
Clínica Maxilofacial Del Caribe,4.9,,Clínica especializada,"Cra. 53 #84 - 43, Riomar, Barranquilla, Atlántico",3228884107,http://www.clinicamaxilofacialdc.com/,,2025-12-22 16:12:38,Barranquilla
Dra. Tiby Maldonado Odontóloga,5.0,,Dentista,"Centro Medico Vital, Cra. 51B #94-334 Consultorio 309, Riomar, Barranquilla, Atlántico",3022355853,https://medicosdoc.com/perfil-medico/14826/dra-tiby-maldonado/odontologo-barranquilla,,2025-12-22 16:12:41,Barranquilla
Carlos Acevedo Odontología,5.0,,Dentista,"Calle 106 No 50-67 Local 405 CC. Gran Boulevard, Barranquilla, Atlántico",3205491349,https://www.carlosacevedo.co/,,2025-12-22 16:12:44,Barranquilla
Diva Sánchez Odontología,5.0,,Dentista,"Cra. 38 #74-182, Las Mercedes, Barranquilla, Atlántico",3182879695,https://instagram.com/od.divasanchez?utm_medium=copy_link,,2025-12-22 16:12:47,Barranquilla
Madrid y Diaz Clinica Odontologica,5.0,,Clínica dental,"Cra. 53 # 79 - 315 Local 202, Nte. Centro Historico, Barranquilla, Atlántico",53782938,,,2025-12-22 16:12:50,Barranquilla
GM Clínica Odontológica,,,Clínica dental,"Cl. 76 #38-42, Las Mercedes, Barranquilla, Atlántico",3008951716,https://medicosdoc.com/perfil-medico/14934/gm-clinica-odontologica/odontologo-barranquilla,,2025-12-22 16:12:53,Barranquilla
"CFC - Carlos Fernández De Castro | Clínica Odontológica | Somos expertos en Rehabilitación Oral | Barranquilla, Colombia",4.8,,Clínica dental,"CC. Mallplaza Buenavista, Cra. 55 #99-55, Riomar, Barranquilla, Atlántico",6053161061,https://cfcodontologia.com/,,2025-12-22 16:12:57,Barranquilla
Zona Dental Barranquilla,3.8,,Dentista,"Cra. 44 #76-211, Nte. Centro Historico, Barranquilla, Atlántico",3125292446,https://zonadentalbarranquilla.com/,,2025-12-22 16:13:00,Barranquilla
Cordaly - Clínica de Cordales,5.0,,Clínica dental,"Cra. 53 #84-43, Riomar, Barranquilla, Atlántico",3228884107,http://cordaly.com/,,2025-12-22 16:13:03,Barranquilla
CENTRO ODONTOLOGICO,,,Clínica dental,"Cl. 70b #Carrera 31 96, Suroccidente, Barranquilla, Atlántico",53659059,,,2025-12-22 16:13:06,Barranquilla
Ponce Odontologia,4.9,,Clínica dental,"Smart Office, Cra. 51B #80-58 Oficina 910, Nte. Centro Historico, Barranquilla, Atlántico",3218430749,http://www.ponceodontologia.co/,,2025-12-22 16:13:09,Barranquilla
Clínica dental y esthetic by Susana Moya,4.9,,Dentista,"SEDE 1, Cl. 70b #41-120, Nte. Centro Historico, Barranquilla, Atlántico",3004973891,https://medicosdoc.com/perfil-medico/13279/susana-moya-dental-y-esthetic-clinic/odontologo-barranquilla,,2025-12-22 16:13:12,Barranquilla
Odontozoom,5.0,,Clínica dental,"Cra 13 # 109B - 02, Barranquilla, Atlántico",3003055486,http://odontozoom.com/,,2025-12-22 16:13:15,Barranquilla
Bonadent,4.8,,Clínica dental,"Cl. 75 #48-62, Nte. Centro Historico, Barranquilla, Atlántico",3008228883,http://www.bonadentoficial.com/,,2025-12-22 16:13:18,Barranquilla
