name,rating,reviews_count,category,address,phone,website,hours,extracted_at,ciudad_busqueda
Neodent Odontologia Integral y especializada,4.0,,Clínica dental,"Cl. 130 #92-14, Bogotá",+13013687854,,,2025-12-22 15:55:18,Bogotá
Odontoamigo,4.4,,Clínica dental,"Cl. 129c Bis #91-09 local 1, Bogotá",3102227286,,,2025-12-22 15:55:21,Bogotá
Consultorio Odontológico,,,Clínica dental,"Cl 132 #93-06 Piso 2, Bogotá",16823667,,,2025-12-22 15:55:24,Bogotá
Odonto Centry,1.4,,Facultad de odontología,"Carrera 93 No. 129B-24, Suba Rincon, Bogotá, Bogotá D.C.",16946070,,,2025-12-22 15:55:27,Bogotá
clinica odontologica orthoplus,,,Clínica dental,"Cl 132 #94 F, Suba, Bogotá",16855154,,,2025-12-22 15:55:30,Bogotá
AR ODONTOLOGIA ADRIANA RESTREPO,4.5,,Clínica dental,"Cra. 93 #128 A 25, Suba, Rincón, Bogotá",3174388793,https://www.facebook.com/adriana.restrepo.351104,,2025-12-22 15:55:33,Bogotá
SAR ALIANZA ODONTOLOGICA,,,Clínica dental,"Cl. 133a #91-10, Suba, Bogotá, Cundinamarca",3183019855,,,2025-12-22 15:55:36,Bogotá
Estación Dental,5.0,,Clínica dental,"Cra. 47a #114-19, Bogotá",3125887065,http://estaciondental.com.co/,,2025-12-22 15:55:39,Bogotá
Dr Diego Andrés Ramírez Endodoncista Smile Dental Center Clínica Odontológica 24H Colina Campestre,4.8,,Dentista,"Cra. 58 #137A-10 Consultorio 303, Bogotá",3102424075,https://smiledentalcenter24.com/,,2025-12-22 15:55:42,Bogotá
Consultorio odontológico Dra. Aura González. EasyDent,,,Clínica dental,"Cl 132 #95 - 20, Suba, Bogotá",3224198190,,,2025-12-22 15:55:45,Bogotá
Esplen Dent,4.5,,Dentista,"Carrera 59 A No. 136 95 Local 203 Sede Principal Colina Campestre Mall 138:, Cra. 59a #136-95, Bogotá",3108001501,https://www.clinicasodontologicasbogota.com/,,2025-12-22 15:55:49,Bogotá
DRA JHOANNA GARAVITO ODONTOLOGÍA ESTÉTICA,4.9,,Clínica dental,"Calle 145 # 91 -34 Local 183 Dra Jhoanna garavito odontología estética Centro comercial, Suba, Bogotá",3223765749,https://drajhoannag.com/,,2025-12-22 15:55:52,Bogotá
Clínica Odontológica Aura Estela Prieto | Clínica Dental en Bogotá,4.9,,Clínica dental,"Cl. 68 #90 - 37, Engativá, Bogotá, Cundinamarca",3102534528,https://linktr.ee/auraprieto,,2025-12-22 15:55:55,Bogotá
Molart Odontologia,4.8,,Clínica dental,"Cra. 91 #145-97, Bogotá",3227233200,https://www.instagram.com/sonrisamolart,,2025-12-22 15:55:58,Bogotá
Consultorio Odontológico,5.0,,Clínica dental,"46, Suba #90, Suba, Bogotá",16923021,,,2025-12-22 15:56:01,Bogotá
Odontotal Especialistas en Estetica Dental,5.0,,Clínica especializada,"Calle 145 # 91-19 local 29 tercer piso Centro Comercial Centro, Suba, Bogotá",3003231160,,,2025-12-22 15:56:04,Bogotá
Unidad Odontofacial - Implantes-Ortodoncia-Diseño sonrisa,5.0,,Clínica dental,"Edificio Santa Bárbara III, Ak 15 #112 - 46 Cons 101, Bogotá",3052300355,http://www.odontofacial.co/,,2025-12-22 15:56:07,Bogotá
CLINICA ODONTOLOGICA SMART DENTAL,4.7,,Clínica dental,"Cl. 152b # 114 D - 21, Bogotá",3203436612,,,2025-12-22 15:56:10,Bogotá
Millenium,2.0,,Dentista,"Cra. 91 #139-34, Bogotá",15188430,,,2025-12-22 15:56:13,Bogotá
Clínicas Élite Dental,4.9,,Clínica dental,"B. Las Villas, Cl. 128b #58B-13, Suba, Bogotá",6012533319,https://www.clinicaelitedental.com.co/,,2025-12-22 15:56:16,Bogotá
Clínicas Odontológicas Dental Company,5.0,,Clínica dental,"Ac 145 #1097, Suba, Bogotá, Cundinamarca",15361953,,,2025-12-22 15:56:19,Bogotá
Clínicas Élite Dental,4.9,,Clínica dental,"B. Las Villas, Cl. 128b #58B-13, Suba, Bogotá",6012533319,https://www.clinicaelitedental.com.co/,,2025-12-22 15:56:22,Bogotá
Ortodoncia Suba Bogota Odontologia Radiologia Oral Muelitas y Molares,3.0,,Ortodoncista,"Cl. 139 #103F - 49 local 11 y 10, Bogotá",3108812694,http://ortodonciaypediatria.com/,,2025-12-22 15:56:25,Bogotá
iARA Clinica Dental,4.9,,Clínica dental,"Cra. 58 #128a-03, Bogotá",3147752016,,,2025-12-22 15:56:28,Bogotá
clinica odontologica ortho day,4.6,,Clínica dental,"Tv. 76 #81I - 67, Bogotá",3166120454,,,2025-12-22 15:56:31,Bogotá
Clínica Oral-Dent Ltda,4.9,,Clínica dental,"Cra. 104a #71 D 51, Engativá, Bogotá, Cundinamarca",3106497524,http://www.clinioraldentltda.com/,,2025-12-22 15:56:35,Bogotá
Molart Odontologia,4.8,,Clínica dental,"Cra. 91 #145-97, Bogotá",3227233200,https://www.instagram.com/sonrisamolart,,2025-12-22 15:56:38,Bogotá
Ortodoncia Suba Bogota Odontologia Radiologia Oral Muelitas y Molares,4.0,,Clínica dental,"Cl. 139 #103f-49 LOCAL 11 AL 10, Bogotá",3108812694,https://ortodonciaypediatria.com/,,2025-12-22 15:56:41,Bogotá
Consultorio Odontólogico Vitaldent M.S,5.0,,Clínica dental,"Cl. 131c #104-41, Suba, Bogotá, Cundinamarca",3123035449,,,2025-12-22 15:56:44,Bogotá
Odontología Orallife sede Suba,4.7,,Clínica dental,"Cl. 135b #126-40, Bogotá",3005745029,,,2025-12-22 15:56:47,Bogotá
Clínica Odontológica ALTRIDENT,5.0,,Clínica dental,"Cl. 146a #95-45, Suba, Bogotá, Cundinamarca",3224104299,,,2025-12-22 15:56:50,Bogotá
Clinica Colombiana de Prótesis Dentales,4.3,,Dentista,"Cra. 58 #127-34, Bogotá",3005515669,http://www.ccpdental.com/,,2025-12-22 15:56:53,Bogotá
Consultorio Odontológico,5.0,,Clínica dental,"46, Suba #90, Suba, Bogotá",16923021,,,2025-12-22 15:56:56,Bogotá
Consultorio Odontologico Dr. Julián Sánchez,5.0,,Clínica dental,"Carrera 122d # 129b 90 Local 26. Centro Comercial Laguna, Bogotá, Cundinamarca",3507083018,,,2025-12-22 15:56:59,Bogotá
