name,rating,reviews_count,category,address,phone,website,hours,extracted_at,ciudad_busqueda
Clínica Odontología Cali PRISMA,4.9,,Clínica dental,"Vida Centro Profesional PH, Cll. 5d # 38a-35, Cali, Valle del Cauca Torre 2, Cns #1015 piso 10, Cali, Valle del Cauca",3205445048,http://www.prismaodontologiaestetica.com/,,2025-12-22 16:03:46,Cali
Clínica Tascón Odontologia e Implantes Dentales en Cali,4.8,,Clínica dental,"Cl. 5c #40-69, Cali, Valle del Cauca",3022354864,https://clinicatasconodontologia.com/,,2025-12-22 16:03:49,Cali
Oral Clínica Odontológica Cali,5.0,,Clínica dental,"Cl 48 Bis # 92 - 35, Comuna 17, Cali, Valle del Cauca",3106053207,,,2025-12-22 16:03:52,Cali
Clínica Odontológica en Cali DentaTech ⭐ ⭐ ⭐ ⭐ ⭐ Sede Centro | Diseño de sonrisa | Odontología en Cali,4.8,,Clínica dental,"Cra. 5 #9-33, San Pedro, Cali, Valle del Cauca",3145747715,http://dentatech.co/,,2025-12-22 16:03:55,Cali
DentiSalud Cali Ciudad Jardín - Clínica odontológica,4.6,,Clínica dental,"Cra. 100 #1648, Cañasgordas, Cali, Valle del Cauca",6024855675,http://www.dentisalud.com.co/,,2025-12-22 16:03:58,Cali
Odontología Dra Diana Palacios | consultorio odontológico Cali | ortodoncista Cali,4.9,,Dentista,"Cl. 23 Nte. #6AN 17 Santa Mónica Residencial, santa Mónica, Cali, Valle del Cauca",3162753450,https://dradianapalacios.com/,,2025-12-22 16:04:01,Cali
DentiSalud Cali Norte - Clínica odontológica,4.8,,Clínica dental,"Av 6 N #29n11, San Vicente, Cali, Valle del Cauca",6024896350,http://www.dentisalud.com.co/,,2025-12-22 16:04:04,Cali
DentiSalud Mall Plaza Cali - Clínica odontológica,4.9,,Ortodoncista,"Mall Plaza, Cl. 5 #52 - 210, Cuarto de Legua, Cali, Valle del Cauca",3123471398,https://www.dentisalud.com.co/,,2025-12-22 16:04:07,Cali
"All-on-4, Zygomatic & Strategic Full Arch Implants | Veneers | Facial Feminization Surgery FFS | Dental Tourism by OdontoSOAT",5.0,,Periodoncista de implantes dentales,"Edf. Vida - Torre1, Cl. 5d #38A-35 Off 741, San Fernando, Cali, Valle del Cauca",3162296000,http://www.odontosoat.com/,,2025-12-22 16:04:10,Cali
"Centro Odontológico del Sur (Odontología, Dentist)",5.0,,Clínica dental,"Cra. 44 #6A-94, Nueva Tequendama, Cali, Valle del Cauca",3104149078,https://dentistrydesigners.com/,,2025-12-22 16:04:13,Cali
ODONTOSANI VERSALLES,4.9,,Clínica dental,"Av. 4 Nte. #20n 72, San Vicente, Cali, Valle del Cauca",3203201041,https://doctororalcali.com/,,2025-12-22 16:04:16,Cali
Centro de Ortodoncia Odontología Integral,3.6,,Clínica dental,"Cl. 39 Nte. #2BN 121, Prados Norte, Cali, Valle del Cauca",3178929059,http://www.odontologiacoi.com/,,2025-12-22 16:04:19,Cali
"Clínica Odontológica en Cali DentaTech - Sede Alfonso López, Odontología, Diseño de sonrisa",5.0,,Clínica dental,"Cra. 7p #76-4, Alfonso Lopez, Cali, Valle del Cauca",3145747715,https://dentatech.co/,,2025-12-22 16:04:22,Cali
Clínicas Élite Dental,4.8,,Clínica dental,"Cra. 44 #No 5A - 66, Cali, Valle del Cauca",3208377257,https://www.clinicaelitedental.com.co/,Abierto ⋅ Cierra a las 6 p.m.·Ver más horas,2025-12-22 16:04:26,Cali
Odontología Cali Sur - Daniel Rivera,5.0,,Dentista,"Cra. 100 #11-60 Consultorio 306, Ciudad Jardín, Cali, Valle del Cauca",3163228540,https://drdanielrivera.com.co/,,2025-12-22 16:04:29,Cali
Clinica Dental Tascón Odontología e Implantes Dentales en Cali,4.9,,Clínica dental,"Cra. 100 #5-169 Local 801, Las Vegas, Cali, Valle del Cauca",3137936508,https://www.clinicatasconodontologia.com/,,2025-12-22 16:04:32,Cali
Dr. Alejandro Martínez Diseño de Sonrisa,5.0,,Dentista cosmético,"Cra. 40 #5b - 15, Cali, Valle del Cauca",3104308517,https://dralejandromartinez.com.co/,,2025-12-22 16:04:35,Cali
