name,rating,reviews_count,category,address,phone,website,hours,extracted_at,ciudad_busqueda
DentalGroup Odontológos Especialistas,4.9,,Clínica dental,"Ed. San Lazaro, Calle Real #31-110 Local 10, Espinal, Cartagena de Indias, Provincia de Cartagena, Bolívar",3233429039,http://www.dentalgroupespecialistas.com/,,2025-12-22 16:20:47,Cartagena
Clínica Odontológica Cartagena de Indias,5.0,,Clínica dental,"Urbanización el Country, Trvs. 54 # 30, Cartagena de Indias, Provincia de Cartagena, Bolívar",3103659514,https://www.clinicaodontologicactgcoci.co/,,2025-12-22 16:20:51,Cartagena
Orlando Rodriguez Odontologia Integral y Estética,5.0,,Clínica dental,"Cra 20 #29c-53, Pie de la Popa, Cartagena de Indias, Provincia de Cartagena, Bolívar",3106007761,https://drorlandorodriguez.com.co/,,2025-12-22 16:20:54,Cartagena
"CONSULTORIO ODONTOLOGÍA ESTÉTICA, DR. ALFREDO HERRERA.",4.9,,Clínica dental,"C.C. RONDA REAL Local 203 Calle 31 #54, Provincia de Cartagena, Bolívar",3165216678,https://instagram.com/dr.alfredoherrera,,2025-12-22 16:20:57,Cartagena
Carmona Odontología Integral,5.0,,Clínica dental,"Mz F #Lt 26, Santa Lucía, Cartagena de Indias, Provincia de Cartagena, Bolívar",3007659049,https://www.carmonaodontologiaintegral.com/,,2025-12-22 16:21:00,Cartagena
ArtDent,4.2,,Clínica dental,"Local 2-20, Piso 2, C.C Multicentro La Plazuela, Cl. 31 #71-130, Santa Mónica, Provincia de Cartagena, Bolívar",3135553826,,,2025-12-22 16:21:03,Cartagena
Odontologia en Cartagena Clinident Odontología Integral y Estetica,4.9,,Clínica dental,"6436932,,, Carrera 50a #31-31, Provincia de Cartagena, Bolívar",3015639949,http://instagram.com/odontologia.clinidentcartagena,,2025-12-22 16:21:06,Cartagena
Alberto Franco Clínica Dental,5.0,,Clínica dental,"CComercial Ronda Real, Cl. 31 #54-215 Local 144B, Santa Lucía, Cartagena de Indias, Bolívar",3205802324,,,2025-12-22 16:21:09,Cartagena
KOA DENTAL CLINIC,5.0,,Clínica dental,"Cra. 66 #30-2 a 30-184, Las Delicias, Cartagena de Indias, Provincia de Cartagena, Bolívar",,,,2025-12-22 16:21:12,Cartagena
Dra Edenis Muñiz Metanoia experiencia dental,5.0,,Clínica dental,"Providencia, Cra. 71 #31 219 local 07, Santa Lucía, Cartagena de Indias, Provincia de Cartagena, Bolívar",3123020215,https://www.instagram.com/metanoia.clinica/,,2025-12-22 16:21:15,Cartagena
Dra Elizabeth Castro Odontología y Bienestar,4.9,,Clínica dental,"Edificio Ronda Real, Piso 4, Santa Lucía, Cartagena de Indias, Provincia de Cartagena, Bolívar",3155610121,https://linktr.ee/dentisteando,,2025-12-22 16:21:18,Cartagena
Barrios Dental Care,5.0,,Clínica dental,"Centro comercial San Fernando, Dg. 31b #83B Sur -104 Local 209, Ternera, Cartagena de Indias, Cartagena, Provincia de Cartagena, Bolívar",3046326437,http://www.barriosdentalcare.com/,,2025-12-22 16:21:21,Cartagena
Clínica Odontologíca del Caribe,4.1,,Clínica dental,"centro comercial shopping center, local # 6, Santa Mónica, Cartagena de Indias, Provincia de Cartagena, Bolívar",3014629539,,,2025-12-22 16:21:24,Cartagena
Odontología Estética Giovanna Valencia,5.0,,Clínica dental,"Blas de Lezo MZ 9A lote 42 etapa 5, Local 1, Cartagena de Indias, Bolívar",3135564020,,,2025-12-22 16:21:27,Cartagena
Odontologia Especializada,5.0,,Clínica dental,"Cra. 25 #27-47, Manga, Cartagena de Indias, Provincia de Cartagena, Bolívar",3003207560,,,2025-12-22 16:21:31,Cartagena
ArtDent,4.6,,Clínica dental,"Super centro los ejecutivos, local 36, Los Ejecutivos, Cartagena de Indias, Provincia de Cartagena, Bolívar",3004458820,,,2025-12-22 16:21:34,Cartagena
Odontología en Cartagena - Ortodoncia - Alineadores dentales - Diseño de sonrisa - Unidad Médica Lucas,5.0,,Clínica dental,"Cl. 28 #2790 27-a, Manga, Cartagena de Indias, Provincia de Cartagena, Bolívar",3116719882,https://www.instagram.com/dra.andreasalcedop/,,2025-12-22 16:21:37,Cartagena
Dentix Cartagena,2.9,,Dentista,"consultorio 4GH, Calle 35 # 8b-05 Centro Avenida Venezuela edificio citibank, piso 4, Cartagena de Indias, Bolívar",3244260030,https://clinicasdentix.com/,,2025-12-22 16:21:40,Cartagena
"Dra. Tarsys Loayza, Odontólogo",5.0,,Dentista cosmético,"Cra. 3 #6-128, Cartagena de Indias, Provincia de Cartagena, Bolívar",3103664278,https://www.sonrisaperfecta.com.co/,,2025-12-22 16:21:43,Cartagena
CESDENT,5.0,,Clínica dental,"Dg. 31 #62A-30, Los Ángeles, Cartagena de Indias, Provincia de Cartagena, Bolívar",3132074843,,,2025-12-22 16:21:46,Cartagena
MONICA JULIO ARTE PARA TU SONRISA,5.0,,Ortodoncista,"Cl. 29d #21B 129, Pie de la Popa, Cartagena de Indias, Provincia de Cartagena, Bolívar",3146662522,https://monicajulio.com/,,2025-12-22 16:21:49,Cartagena
odontoclinic mio plaza,5.0,,Clínica dental,"centro comercial mio plaza, Cartagena de Indias, Provincia de Cartagena, Bolívar",,https://www.instagram.com/odontoclinic._?igsh=b2R1YXM1Z2p4dmRr&utm_source=qr,,2025-12-22 16:21:52,Cartagena
CLINICA DENTAL EL PROGRESO,,,Clínica dental,"Pedro Romero #30B-76, Estela, Cartagena de Indias, Provincia de Cartagena, Bolívar",3016087146,,,2025-12-22 16:21:55,Cartagena
Sonrisa Perfecta Dental - Tarsys Loayza Roys,5.0,,Clínica dental,"Cra. 3 #6-128 of. 204, Cartagena de Indias, Provincia de Cartagena, Bolívar",3103664278,http://sonrisaperfecta.com.co/,,2025-12-22 16:21:58,Cartagena
ORALSON RR SAS,5.0,,Clínica dental,"26, Tv 68 #20, Cartagena de Indias, Bolívar",3332522265,,,2025-12-22 16:22:01,Cartagena
Dra. Monica Arias - Ortodoncia & odontologia estética,5.0,,Dentista cosmético,"Mz A Lt #2, piso 1, 2, Villa Sandra, Cartagena de Indias, Bolívar",3244715039,https://instagram.com/monicaarias_ortodoncia?igshid=1rat6292zqof6,,2025-12-22 16:22:04,Cartagena
Clínica Odontológica Claudia Ortega,4.0,,Clínica dental,"Av. Pedro De heredia, Cra. 59b #Manzana 50 Lote 16, Chiquinquirá, Cartagena de Indias, Bolívar",3103515732,http://doctoraclaudiaortega.blogspot.com.co/,,2025-12-22 16:22:07,Cartagena
Macia Dental Clinic Parque Heredia,5.0,,Clínica dental,"Centro Comercial Parque Heredia, Local 130, Cartagena de Indias, Provincia de Cartagena, Bolívar",3042760872,,,2025-12-22 16:22:10,Cartagena
Coraldent Cartagena,5.0,,Clínica dental,"Urbanización Los corales manzana A, lote 19 transversal 54, local 1, segundo piso, Cartagena de Indias, Bolívar",3006392023,,,2025-12-22 16:22:13,Cartagena
CLINICA ODONTOLOGICA ESPAÑA,3.0,,Clínica dental,"Cra. 46 #30 B, España, Cartagena de Indias, Provincia de Cartagena, Bolívar",3116987447,,,2025-12-22 16:22:16,Cartagena
JM Dental Design Center,5.0,,Clínica dental,"Bocagrande Cra 3, Cl. 5a #3-36, Cartagena de Indias, Bolívar",3017909881,https://lp.johnnymercado.com/,,2025-12-22 16:22:20,Cartagena
"Rehabilitadora Oral, Dentist U.Javeriana | speaks fluent English | Dental Tourism I",4.9,,Dentista,"carrera 2# 42a-70, calle Real del cabrero, Edificio Milano local 1 Edificio Milano, Local 1, Cartagena de Indias, Bolívar",3188895225,https://drafannyvalera.com/#!/-dentist-cartagena/,Abierto ⋅ Cierra a las 6 p.m.·Ver más horas,2025-12-22 16:22:23,Cartagena
ArtDent Odontología Especializada,4.0,,Clínica dental,"centro de salud y negocio ronda real, Cl. 31 #54-215 Local 152, Escallón Villa, Cartagena de Indias, Provincia de Cartagena, Bolívar",6056928145,,,2025-12-22 16:22:26,Cartagena
Iliana Zarco sede Plazuela,5.0,,Clínica dental,"Multicentro La Plazuela, local 216, Santa Mónica, Cartagena de Indias, Provincia de Cartagena, Bolívar",3187119268,https://ilianazarcoyjosecuesta.com/,,2025-12-22 16:22:29,Cartagena
