name,rating,reviews_count,category,address,phone,website,hours,extracted_at,ciudad_busqueda
Odontologia Integral Medellin,5.0,,Médico,"Cl. 68 #6018, Bogotá",3125070336,,,2025-12-22 15:46:44,Medellín
Clínica Dental Home,4.9,,Clínica dental,"Cl. 34 #34A-76 Consultorio 401, Laureles - Estadio, Medellín, Laureles, Medellín, Antioquia",3104194654,https://clinicadentalhome.com/?utm_source=google&utm_medium=organic&utm_campaign=google-business&utm_id=google-business&utm_term=google-business-unicentro,,2025-12-22 15:46:47,Medellín
Odontológica,5.0,,Clínica dental,"Cra. 29d #6A 05, El Poblado, Medellín, El Poblado, Medellín, Antioquia",44449006,,,2025-12-22 15:46:50,Medellín
Ortounion Clínica Odontológica,5.0,,Clínica dental,"Centro Comercial SanDiego, bloque norte, consultorio 227A, Cl 34 #43-66, Medellín, Antioquia",3006103275,https://www.ortounion.com/,,2025-12-22 15:46:53,Medellín
Consultorio odontologico la 73,4.9,,Clínica dental,"AKT Colombia, Cl 44 #73 - 12 segundo piso, Laureles - Estadio, Medellín, Laureles, Medellín, Antioquia",3187501226,http://www.odontologosla73.com/,,2025-12-22 15:46:57,Medellín
Clínica Colombiana de Implantes Dentales,4.8,,Dentista,"Dg 75E #33A-160, Laureles - Estadio, Medellín, Laureles, Medellín, Antioquia",3166900299,http://www.clinicacolombianadeimplantes.com/,,2025-12-22 15:47:00,Medellín
ORAL CONCEPT INVISALIGN,5.0,,Dentista cosmético,"Cra. 70 #32 b 51 local 1, Medellín, Belén, Medellín, Antioquia",3137662008,https://oralconcept.co/home/oral-concept,,2025-12-22 15:47:03,Medellín
Premium Dental Medellín,4.9,,Clínica dental,"Local 2101. CC Premium Plaza, El Poblado, Medellín, Antioquia",3204010740,http://premiumdentalmedellin.com/,,2025-12-22 15:47:06,Medellín
Clínica Viena / Veneers Medellín,5.0,,Dentista cosmético,"Cl. 7 Sur #n 42-70 of 420, El Poblado, Medellín, El Poblado, Medellín, Antioquia",3224776418,https://clinicaviena.com/,,2025-12-22 15:47:09,Medellín
Odontoss Laureles,4.8,,Clínica dental,"Cl. 35 #7642, Laureles - Estadio, Medellín, Laureles, Medellín, Antioquia",6044440062,http://www.odontoss.com/,,2025-12-22 15:47:12,Medellín
